,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
106,tt1457767,The Conjuring,James Wan,Vera Farmiga,2013,"$137,387,272",R,7.5,"421,587",68
107,tt0790636,Dallas Buyers Club,Jean-Marc Vallée,Matthew McConaughey,2013,"$23,750,994",R,8.0,"421,522",81
108,tt2179136,American Sniper,Clint Eastwood,Bradley Cooper,2014,"$274,377,268",R,7.3,"421,609",72
109,tt1727824,Bohemian Rhapsody,Bryan Singer,Rami Malek,2018,N/A,PG-13,8.0,"419,680",49
110,tt1291584,Warrior,Gavin O'Connor,Joel Edgerton,2011,"$13,600,000",PG-13,8.2,"420,706",71
111,tt1430132,The Wolverine,James Mangold,Hugh Jackman,2013,"$132,550,960",PG-13,6.7,"417,955",61
112,tt1979320,Rush,Ron Howard,Chris Hemsworth,2013,"$22,442,876",R,8.1,"415,287",74
113,tt1840309,Divergent,Neil Burger,Shailene Woodley,2014,"$129,520,735",PG-13,6.7,"413,543",48
114,tt2948356,Zootopia,Byron Howard,Ginnifer Goodwin,2016,"$341,264,012",PG,8.0,"410,437",78
115,tt1499658,Horrible Bosses,Seth Gordon,Jason Bateman,2011,"$116,900,000",R,6.9,"411,777",57
116,tt1454029,The Help,Tate Taylor,Emma Stone,2011,"$169,705,587",PG-13,8.1,"409,765",62
117,tt4154664,Captain Marvel,Anna Boden,Brie Larson,2019,N/A,PG-13,6.9,"406,778",64
118,tt3890160,Baby Driver,Edgar Wright,Ansel Elgort,2017,N/A,R,7.6,"406,935",86
119,tt1535108,Elysium,Neill Blomkamp,Matt Damon,2013,"$90,800,000",R,6.6,"410,080",61
120,tt1515091,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Robert Downey Jr.,2011,"$186,830,669",PG-13,7.5,"408,972",48
121,tt2713180,Fury,David Ayer,Brad Pitt,2014,"$72,609,225",R,7.6,"407,393",64
122,tt2119532,Hacksaw Ridge,Mel Gibson,Andrew Garfield,2016,N/A,R,8.1,"404,082",71
123,tt1535109,Captain Phillips,Paul Greengrass,Tom Hanks,2013,"$107,100,855",PG-13,7.8,"405,034",82
124,tt1568346,The Girl with the Dragon Tattoo,David Fincher,Daniel Craig,2011,"$102,515,793",R,7.8,"405,585",71
125,tt1872181,The Amazing Spider-Man 2,Marc Webb,Andrew Garfield,2014,"$183,277,573",PG-13,6.6,"404,037",53
126,tt6751668,Parasite,Bong Joon Ho,Kang-ho Song,2019,N/A,R,8.6,"400,197",96
127,tt1790864,The Maze Runner,Wes Ball,Dylan O'Brien,2014,"$98,537,272",PG-13,6.8,"402,678",57
128,tt2103281,Dawn of the Planet of the Apes,Matt Reeves,Andy Serkis,2014,"$183,278,877",PG-13,7.6,"401,885",79
129,tt4972582,Split,M. Night Shyamalan,James McAvoy,2016,N/A,PG-13,7.3,"398,321",62
130,tt1951265,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Jennifer Lawrence,2014,"$295,457,212",PG-13,6.6,"396,208",64
131,tt5027774,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Frances McDormand,2017,N/A,R,8.2,"394,263",88
132,tt1895587,Spotlight,Tom McCarthy,Mark Ruffalo,2015,N/A,R,8.1,"393,952",93
