,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
1293,tt3148834,Thunder and the House of Magic,Jeremy Degruson,Cinda Adams,2013,1606608.0,Not Rated,6.3,5944.0,47.0
1294,tt1691323,Attenberg,Athiná-Rachél Tsangári,Ariane Labed,2010,12540.0,Not Rated,6.2,5873.0,73.0
1296,tt3687186,Heaven Knows What,Benny Safdie,Arielle Holmes,2014,80013.0,R,6.8,5747.0,75.0
1297,tt1876451,Sparkle,Salim Akil,Jordin Sparks Thomas,2012,24397469.0,PG-13,5.7,5740.0,54.0
1298,tt2609758,A Madea Christmas,Tyler Perry,Tyler Perry,2013,52528330.0,PG-13,4.8,5667.0,28.0
1299,tt1568337,Loosies,Michael Corrente,Peter Facinelli,2011,3318.0,PG-13,6.2,5685.0,35.0
1300,tt2063666,Hello I Must Be Going,Todd Louiso,Melanie Lynskey,2012,83814.0,R,6.2,5661.0,62.0
1301,tt2465140,The Single Moms Club,Tyler Perry,Nia Long,2014,15986272.0,PG-13,5.3,5552.0,31.0
1302,tt4131800,My Little Pony: The Movie,Jayson Thiessen,Uzo Aduba,2017,21732671.0,PG,6.1,5630.0,39.0
1303,tt4649416,Almost Christmas,David E. Talbert,Danny Glover,2016,41715860.0,PG-13,6.1,5637.0,55.0
1304,tt1230168,Same Kind of Different as Me,Michael Carney,Greg Kinnear,2017,6410279.0,PG-13,6.6,5516.0,47.0
1305,tt2111392,Raze,Josh C. Waller,Zoë Bell,2013,3453.0,R,5.2,5558.0,41.0
1306,tt3719896,My All-American,Angelo Pizzo,Aaron Eckhart,2015,1365000.0,PG,7.1,5545.0,34.0
1307,tt1699513,Beginning of the Great Revival,Sanping Han(co-director),Yun-Fat Chow,2011,151305.0,Not Rated,2.9,5561.0,29.0
1308,tt1445520,Footnote,Joseph Cedar,Shlomo Bar-Aba,2011,1900000.0,PG,7.1,5547.0,83.0
1309,tt4230700,Complete Unknown,Joshua Marston,Erin Darke,2016,187145.0,R,5.4,5482.0,58.0
1310,tt3486626,The Nut Job 2: Nutty by Nature,Cal Brunker,Will Arnett,2017,28342490.0,PG,5.4,5456.0,36.0
1311,tt3501416,Amsal,Dong-hoon Choi,Ji-Hyun Jun,2015,1904682.0,Not Rated,7.3,5351.0,64.0
1312,tt0884726,Legends of Oz: Dorothy's Return,Will Finn,Dan Aykroyd,2014,6455823.0,PG,5.1,5442.0,25.0
1313,tt1196134,Crazy on the Outside,Tim Allen,Tim Allen,2010,64438.0,PG-13,5.5,5373.0,21.0
1314,tt3704416,Digging for Fire,Joe Swanberg,Jake Johnson,2015,119364.0,R,5.8,5316.0,69.0
1315,tt1487931,Khumba,Anthony Silverston,Jake T. Austin,2013,90465.0,Not Rated,5.7,5374.0,40.0
1316,tt1389139,When the Bough Breaks,Jon Cassar,Morris Chestnut,2016,29740655.0,PG-13,5.1,5349.0,28.0
1317,tt6574272,Phoenix Forgotten,Justin Barber,Florence Hartigan,2017,3599570.0,PG-13,5.2,5158.0,33.0
1318,tt5969696,The Battleship Island,Seung-wan Ryoo,Jung-min Hwang,2017,1104957.0,Not Rated,7.1,5139.0,60.0
1319,tt1684925,Wish You Were Here,Kieran Darcy-Smith,Felicity Price,2012,803093.0,R,5.9,5068.0,60.0
1320,tt3794028,From the Land of the Moon,Nicole Garcia,Marion Cotillard,2016,45457.0,R,6.7,4933.0,40.0
1321,tt1798709,Her,Spike Jonze,Joaquin Phoenix,2013,17901029.0,R,8.0,510311.0,90.0
1322,tt1576440,Good Neighbours,Jacob Tierney,Jay Baruchel,2010,6805.0,R,5.8,4955.0,60.0
1323,tt1438216,Oranges and Sunshine,Jim Loach,Emily Watson,2010,2017976.0,R,7.1,4757.0,60.0
1324,tt2392830,A Quiet Passion,Terence Davies,Emma Bell,2016,1864266.0,PG-13,6.4,4926.0,77.0
1325,tt1839642,The Face of Love,Arie Posin,Annette Bening,2013,188627.0,PG-13,6.2,4905.0,51.0
1326,tt1707391,4:44 Last Day on Earth,Abel Ferrara,Shanyn Leigh,2011,15738.0,R,4.6,4777.0,54.0
1327,tt1846487,Reality,Matteo Garrone,Aniello Arena,2012,44768.0,R,6.8,4864.0,76.0
1328,tt1300854,Iron Man 3,Shane Black,Robert Downey Jr.,2013,408992272.0,PG-13,7.2,730917.0,62.0
1329,tt1563704,Legendary,Mel Damski,Patricia Clarkson,2010,191875.0,PG-13,6.2,4823.0,39.0
1330,tt1143896,Holy Rollers,Kevin Asch,Jesse Eisenberg,2010,302886.0,R,5.9,4752.0,51.0
1331,tt2402603,Felony,Matthew Saville,Jai Courtney,2013,185429.0,TV-MA,6.1,4747.0,52.0
1332,tt2693580,Miss Stevens,Julia Hart,Lily Rabe,2016,3858.0,Not Rated,6.6,4392.0,65.0
1333,tt3740778,Mountains May Depart,Zhangke Jia,Tao Zhao,2015,80408.0,Not Rated,6.9,4691.0,79.0
1334,tt1655416,Mental,P.J. Hogan,Rebecca Gibney,2012,2202208.0,Not Rated,6.2,4751.0,42.0
1335,tt1103153,Killers,Robert Luketic,Ashton Kutcher,2010,47000485.0,PG-13,5.4,84906.0,21.0
1336,tt3534282,Don Verdean,Jared Hess,Sam Rockwell,2015,30525.0,PG-13,5.4,4641.0,39.0
1337,tt5599692,Clash,Mohamed Diab,Nelly Karim,2016,18031.0,Not Rated,7.5,4516.0,78.0
1338,tt1509803,Griff the Invisible,Leon Ford,Ryan Kwanten,2010,20906.0,PG-13,6.1,4590.0,49.0
1339,tt1462054,Letters to God,David Nixon,Lisa Curtis,2010,1121000.0,PG,6.3,4563.0,31.0
1340,tt1699755,Peeples,Tina Gordon,Craig Robinson,2013,9123834.0,PG-13,5.3,4546.0,52.0
1341,tt1714833,Drift,Ben Nott,Myles Pollard,2013,444465.0,R,6.3,4543.0,35.0
1342,tt1959438,Kiss of the Damned,Xan Cassavetes,Joséphine de La Baume,2012,9167.0,R,5.5,4457.0,48.0
1343,tt3882082,The Boy,William Brent Bell,Lauren Cohan,2016,30196680.0,PG-13,6.0,74822.0,42.0
1344,tt3781476,Monster Hunt,Raman Hui,Baihe Bai,2015,21074.0,TV-Y7,6.1,4427.0,53.0
1345,tt1316616,There Be Dragons,Roland Joffé,Charlie Cox,2011,1065439.0,PG-13,5.8,4453.0,33.0
1346,tt1566501,For Greater Glory: The True Story of Cristiada,Dean Wright,Mauricio Kuri,2012,5669081.0,R,6.6,4415.0,35.0
1347,tt4939066,Battle for Incheon: Operation Chromite,John H. Lee,Liam Neeson,2016,904216.0,Not Rated,6.2,4305.0,50.0
1348,tt1496005,The Tree,Julie Bertuccelli,Charlotte Gainsbourg,2010,69236.0,Not Rated,6.6,4279.0,58.0
1349,tt1672845,Tonight You're Mine,David Mackenzie,Rebecca Benson,2011,5086.0,R,6.7,4223.0,41.0
